project_id,project_type,state,region,capacity_mw,sanctioned_budget_cr,planned_duration_months,contractor_count,land_acquisition_status,project_complexity,actual_cost_cr,actual_duration_months,cost_overrun_pct,delay_months,risk_level
P00001,Thermal,Punjab,North,4272,20878.98,93,3,Complete,Medium,22533.22,94.5,7.92,1.5,Low
P00002,Thermal,Uttar Pradesh,North,2933,9465.67,56,1,Complete,Medium,10243.65,58.0,8.22,2.0,Low
P00003,Thermal,Maharashtra,West,2399,10932.09,92,3,Pending,Medium,14870.22,105.8,36.02,13.8,High
P00004,Wind,Tamil Nadu,South,141,280.91,18,8,Complete,High,329.63,28.9,17.34,10.9,High
P00005,Wind,Andhra Pradesh,South,605,1749.11,15,8,Partial,Medium,2275.05,28.2,30.07,13.2,High
P00006,Transmission,Rajasthan,North,2668,5758.52,55,8,Complete,High,7196.48,61.7,24.97,6.7,Medium
P00007,Solar,Punjab,North,829,1792.13,34,8,Partial,Medium,2174.49,48.4,21.34,14.4,High
P00008,Hydro,Haryana,North,306,1572.14,77,3,Complete,Medium,1715.36,79.8,9.11,2.8,Low
P00009,Transmission,Tamil Nadu,South,2672,2980.54,33,2,Partial,Low,3210.4,38.4,7.71,5.4,Medium
P00010,Hydro,Andhra Pradesh,South,2138,15993.22,97,1,Complete,Medium,16717.15,99.2,4.53,2.2,Low
P00011,Hydro,Haryana,North,417,1714.09,86,10,Complete,High,2175.79,99.1,26.94,13.1,High
P00012,Wind,Maharashtra,West,162,237.58,35,1,Complete,High,266.64,43.8,12.23,8.8,Medium
P00013,Wind,Karnataka,South,733,1470.41,17,7,Partial,Medium,1706.17,26.9,16.03,9.9,High
P00014,Solar,Haryana,North,1197,3012.13,27,3,Partial,Medium,3350.08,37.0,11.22,10.0,High
P00015,Wind,Punjab,North,690,1667.21,29,7,Partial,Medium,2005.13,38.4,20.27,9.4,High
P00016,Thermal,Karnataka,South,3608,21758.21,90,9,Complete,Medium,25688.46,101.1,18.06,11.1,High
P00017,Thermal,Uttar Pradesh,North,4699,23145.94,70,9,Partial,Low,26968.99,81.6,16.52,11.6,High
P00018,Solar,Karnataka,South,865,2588.93,19,7,Partial,Medium,3107.37,27.5,20.03,8.5,Medium
P00019,Hydro,Uttar Pradesh,North,1899,11689.66,56,1,Partial,Medium,13444.43,61.1,15.01,5.1,Medium
P00020,Thermal,Karnataka,South,3065,12200.65,76,5,Pending,Medium,16692.8,91.0,36.82,15.0,High
P00021,Hydro,Gujarat,West,1916,9529.14,89,10,Pending,Low,11680.81,102.0,22.58,13.0,High
P00022,Solar,Haryana,North,295,654.6,40,10,Partial,High,910.15,60.7,39.04,20.7,High
P00023,Thermal,Maharashtra,West,1666,6667.88,37,7,Partial,Medium,7895.82,47.2,18.42,10.2,High
P00024,Hydro,Karnataka,South,3140,22417.54,95,5,Complete,High,26108.49,100.1,16.46,5.1,Medium
P00025,Transmission,Gujarat,West,735,1522.84,30,1,Complete,Medium,1639.21,31.7,7.64,1.7,Low
